headline,link,speaker_date,rating
"Ukraine President Volodymyr Zelenskyy “blocked Truth Social in Ukraine.”By Claire Cranford • February 25, 2025",https://www.politifact.com/personalities/social-media/,"By Claire Cranford • February 25, 2025",
"The Chicago Cubs owner is bankrolling Brad Schimel.By Madeline Heim • February 25, 2025",https://www.politifact.com/personalities/social-media/,"By Madeline Heim • February 25, 2025",
"Elon Musk posted on X he is planning to suspend Ukraine President Volodymyr Zelenskyy’s X account.By Sofia Ahmed • February 24, 2025",https://www.politifact.com/personalities/threads-posts/,"By Sofia Ahmed • February 24, 2025",
"""The Philadelphia Eagles have declined their invitation to the White House,” as of Feb. 24.By Jeff Cercone • February 24, 2025",https://www.politifact.com/personalities/social-media/,"By Jeff Cercone • February 24, 2025",
"Elon Musk “contracted a helicopter and the first DOGE payments are being” dispersed in California.By Jeff Cercone • February 24, 2025",https://www.politifact.com/personalities/facebook-posts/,"By Jeff Cercone • February 24, 2025",
"“Delta plane that crashed in Toronto operated by Endeavor Air with all-female flight crew.”By Sofia Ahmed • February 21, 2025",https://www.politifact.com/personalities/instagram-posts/,"By Sofia Ahmed • February 21, 2025",
"Says Luigi Mangione posted on X, “He who saves his country does not violate any law.”By Ciara O'Rourke • February 21, 2025",https://www.politifact.com/personalities/viral-image/,"By Ciara O'Rourke • February 21, 2025",
"“The media is showing how Obama’s birth certificate was changed! He was never born in the U.S. so he was never a real president!”By Ciara O'Rourke • February 21, 2025",https://www.politifact.com/personalities/facebook-posts/,"By Ciara O'Rourke • February 21, 2025",
"President Joe Biden’s immigration policy was “a giant voter importation scam.”By Maria Ramirez Uribe • February 21, 2025",https://www.politifact.com/personalities/elon-musk/,"By Maria Ramirez Uribe • February 21, 2025",
"El congresista Adriano Espaillat muestra “La nueva bandera que están promoviendo para República Dominicana que se va a llamar 'DominicoHaiti'”.By Maria Briceño • February 21, 2025",https://www.politifact.com/personalities/facebook-posts/,"By Maria Briceño • February 21, 2025",
"“US Debt Clock” numbers prove “DOGE has saved taxpayers $64 billion dollars in just 17 days.”By Sara Swann • February 21, 2025",https://www.politifact.com/personalities/social-media/,"By Sara Swann • February 21, 2025",
"Video shows White House Press Secretary Karoline Leavitt saying Americans can get $4,800 subsidy because Department of Government Efficiency cuts found “extra money.”By Jeff Cercone • February 21, 2025",https://www.politifact.com/personalities/facebook-posts/,"By Jeff Cercone • February 21, 2025",
"Says Barron Trump posted on X, “We’re on the brink of uncovering a dark legacy in this country that’s been hidden for far too long.”By Ciara O'Rourke • February 21, 2025",https://www.politifact.com/personalities/instagram-posts/,"By Ciara O'Rourke • February 21, 2025",
"Says Elon Musk said on X, “Spoiled crybabies across the country are protesting against America’s golden age. Brats like them should go to prison.”By Ciara O'Rourke • February 21, 2025",https://www.politifact.com/personalities/viral-image/,"By Ciara O'Rourke • February 21, 2025",
"“The very LIBERAL 9th Circuit Court has ruled that 84 of Biden's last-minute pardons are unconstitutional.”By Ciara O'Rourke • February 21, 2025",https://www.politifact.com/personalities/facebook-posts/,"By Ciara O'Rourke • February 21, 2025",
"Video shows Barron Trump singing on “America’s Got Talent.”By Ciara O'Rourke • February 21, 2025",https://www.politifact.com/personalities/facebook-posts/,"By Ciara O'Rourke • February 21, 2025",
"“You either have XX or XY chromosomes. Those are the options.”By Grace Abels • February 21, 2025",https://www.politifact.com/personalities/nancy-mace/,"By Grace Abels • February 21, 2025",
"A photo shows Jonathan Simpson, the pilot of “Delta’s crash in Toronto, Canada.”By Sofia Ahmed • February 20, 2025",https://www.politifact.com/personalities/threads-posts/,"By Sofia Ahmed • February 20, 2025",
"“Elon Musk just ordered all federal workers to be tested for drugs and those that fail have 30 days to retest clean or be fired.”By Kwasi Gyamfi Asiedu • February 20, 2025",https://www.politifact.com/personalities/threads-posts/,"By Kwasi Gyamfi Asiedu • February 20, 2025",
"Volodymyr Zelenskyy “started” the war in Ukraine with Russia.By Claire Cranford • February 19, 2025",https://www.politifact.com/personalities/donald-trump/,"By Claire Cranford • February 19, 2025",
"“Barack and Michelle Obama locked in bombshell divorce of the century.”By Jeff Cercone • February 19, 2025",https://www.politifact.com/personalities/facebook-posts/,"By Jeff Cercone • February 19, 2025",
"“An ICE minivan was reportedly set on fire in Philadelphia.”By Sofia Ahmed • February 19, 2025",https://www.politifact.com/personalities/social-media/,"By Sofia Ahmed • February 19, 2025",
"Mexican President Claudia Sheinbaum said, “I told President (Donald) Trump the best way to make rapists and criminals feel unwelcome in the U.S. is for their citizens to stop electing them.”By Sara Swann • February 19, 2025",https://www.politifact.com/personalities/facebook-posts/,"By Sara Swann • February 19, 2025",
"Michael Jordan said that “any athlete who kneels for our national anthem should lose their medal.”By Claire Cranford • February 19, 2025",https://www.politifact.com/personalities/facebook-posts/,"By Claire Cranford • February 19, 2025",
"Video shows X owner Elon Musk promoted a “bedtime trick” to cure diabetes.By Sofia Ahmed • February 19, 2025",https://www.politifact.com/personalities/facebook-posts/,"By Sofia Ahmed • February 19, 2025",
