title,link
Pills: Can We Get Some? We’re Really Hurting Right Now,https://theonion.com/pills-can-we-get-some-were-really-hurting-right-now/
Lockheed Martin Develops Giant Tactical Rubber Spider,https://theonion.com/lockheed-martin-develops-giant-tactical-rubber-spider/
Scientists Confirm Shingleback Lizards Only Reptiles That Mate For Sake Of Aging Mothers,https://theonion.com/scientists-confirm-shingleback-lizards-only-reptiles-that-mate-for-sake-of-aging-mothers/
Forgetful Man Playing Fast And Loose With Free Trials,https://theonion.com/forgetful-man-playing-fast-and-loose-with-free-trials/
Numerous Teams Express Interest In Aaron Rodgers Playing Elsewhere,https://theonion.com/numerous-teams-express-interest-in-aaron-rodgers-playing-elsewhere/
Chuck Schumer Helps Pull Democrats Back From Brink Of Courage,https://theonion.com/chuck-schumer-helps-pull-democrats-back-from-brink-of-courage/
Report: More Americans Moving Away From Urban Areas For Rural Life Where They Have Escalating Feud With Beaver,https://theonion.com/report-more-americans-moving-away-from-urban-areas-for-rural-life-where-they-have-escalating-feud-with-beaver/
Chuck Schumer Helps Pull Democrats Back From Brink Of Courage,https://theonion.com/chuck-schumer-helps-pull-democrats-back-from-brink-of-courage/
Report: More Americans Moving Away From Urban Areas For Rural Life Where They Have Escalating Feud With Beaver,https://theonion.com/report-more-americans-moving-away-from-urban-areas-for-rural-life-where-they-have-escalating-feud-with-beaver/
House Democrats Vow To Hold President Accountable With Agriculture Bill Where First Letter Of Every Line Spells Out ‘Impeach Trump’,https://theonion.com/house-democrats-vow-to-hold-president-accountable-with-1838020720/
JD Vance’s French Horn Solo Booed At Kennedy Center,https://theonion.com/jd-vances-french-horn-solo-booed-at-kennedy-center/
Bachelorette Party Provides Friends Valuable Time To Get High With Bride’s Cousin,https://theonion.com/bachelorette-party-provides-friends-valuable-time-to-get-high-with-brides-cousin/
Chuck Schumer Helps Pull Democrats Back From Brink Of Courage,https://theonion.com/chuck-schumer-helps-pull-democrats-back-from-brink-of-courage/
Taylor Swift Spends Evening Editing Spreadsheet Ranking All Her Friendships,https://theonion.com/taylor-swift-spends-evening-editing-spreadsheet-ranking-all-her-friendships/
