title,link,description
"At Least 3 Dead After Boat Capsizes Near Staten Island, Officials Say",https://www.nytimes.com/2025/02/23/nyregion/staten-island-overturned-boat.html,"The U.S. Coast Guard said one person was missing and one person was in critical condition after the boat, with six aboard, overturned on Sunday in the Ambrose Channel."
Swiss Peak,https://www.nytimes.com/2025/02/23/crosswords/daily-puzzle-2025-02-24.html,Rena Cohen offers a series of clarifications.
SAG Awards Photos: See the Looks From the 2025 Red Carpet,https://www.nytimes.com/2025/02/23/style/sag-awards-red-carpet-looks.html,See what film and television stars wore as they arrived for the Screen Actors Guild Awards.
"Friedrich Merz, a Conservative, Appears Poised to Be Germanyâ€™s Next Chancellor",https://www.nytimes.com/2025/02/23/world/europe/friedrich-merz-germany-chancellor-election.html,"Whether he can form a strong coalition remains to be seen, but whatever he does will be an essential part of Europeâ€™s response to President Trumpâ€™s reshuffling of alliances."
Germanyâ€™s Votes Are Cast. What Happens Now?,https://www.nytimes.com/2025/02/23/world/europe/germany-election-voting.html,The country appears headed for a coalition government. But the process of building one could take months.
Monday Briefing: Conservatives Near Victory in Germany,https://www.nytimes.com/2025/02/23/briefing/germany-election-israel-west-bank-zelensky-nato.html,"Plus, a pharaohâ€™s tomb was unearthed."
Tens of Thousands Mourn Hezbollahâ€™s Former Leader,https://www.nytimes.com/video/world/middleeast/100000010007825/nasrallah-hezbollah-funeral-lebanon.html,"Hezbollah supporters gathered to pay tribute to Hassan Nasrallah, the groupâ€™s former leader, and Hashem Safieddine, another top official, at a funeral service held months after both were killed by Israel."
Firewall? Why the Far Right Is Unlikely to Join Germanyâ€™s Next Government,https://www.nytimes.com/2025/02/23/world/europe/germany-election-firewall-afd.html,The collective shunning of the AfD party is part of a longstanding attempt to blunt its move into the mainstream.
Trumpâ€™s Frustration With Generals Resulted in an Unconventional Pick,https://www.nytimes.com/2025/02/23/us/politics/trump-dan-caine-joint-chiefs-chairman.html,"Lt. Gen. Dan Caine, a retired three-star Air Force officer, quickly moved up the list of candidates to be the next chairman of the Joint Chiefs of Staff."
Israel and Hamas Accuse Each Other of Violating Cease-Fire Deal,https://www.nytimes.com/video/world/middleeast/100000010007594/delayed-prisoner-release-israel-hamas.html,Israel delayed the release of hundreds of Palestinian prisoners until Hamas assured the release of more hostages.
Some Trump Officials Push Back Against Muskâ€™s Ultimatum to Workers,https://www.nytimes.com/2025/02/23/us/politics/elon-musk-email-federal-workers.html,"The F.B.I. director, Kash Patel, the director of national intelligence, Tulsi Gabbard, and others told employees not to respond to a directive from Mr. Musk to summarize their accomplishments."
"Ken Rosenthal, Founder of Panera Breadâ€™s Forerunner, Dies at 81",https://www.nytimes.com/2025/02/23/business/ken-rosenthal-dead.html,"He built a small chain of bakery cafes, with sourdough bread as its star. A few years after it was sold, it became nationally famous under a new name."
Meet the Man Poised to Be Germanyâ€™s Next Chancellor,https://www.nytimes.com/2025/02/23/world/europe/friedrich-merz-germany-chancellor.html,"Friedrich Merz, leader of the conservative Christian Democratic Union, has vowed to bring stronger leadership in Europe at a time when the new Trump administration has sowed anxiety on the continent."
"Expanding West Bank Campaign, Israel Sends Tanks for First Time in Decades",https://www.nytimes.com/2025/02/23/world/middleeast/israel-west-bank-tanks.html,"Israelâ€™s defense minister, Israel Katz, said that 40,000 Palestinian residents displaced from militant hotbeds would not be allowed to return to their homes."
Shakes Sold to Nursing Homes Recalled After Deadly Listeria Outbreak,https://www.nytimes.com/2025/02/23/us/shake-recall-listeria-nursing-homes.html,The frozen supplemental drinks have been linked to an outbreak of listeria that has killed at least 11 people and hospitalized 37.
Hegseth Defends Trumpâ€™s Firing of Joint Chiefs Chairman,https://www.nytimes.com/2025/02/23/us/politics/hegseth-trump-cq-brown-pentagon.html,Defense Secretary Pete Hegseth said in an interview on Sunday that Gen. Charles Q. Brown Jr. was â€œnot the right man for the momentâ€ and praised President Trumpâ€™s handling of the war in Ukraine.
Voters Took Note of U.S. Meddling in Campaign,https://www.nytimes.com/2025/02/23/world/europe/trump-us-germany-election.html,"Several voters took note of a speech by Vice President JD Vance this month, when he told European leaders to stop shunning parties deemed â€œextreme.â€"
What Project Is Changing Your Community?,https://www.nytimes.com/2025/02/23/headway/projects-changing-community-neighborhoods-progress.html,"Headway, a team at The New York Times that reports on progress and possibility, wants to hear about the efforts shaping your community. Whatâ€™s working? Whatâ€™s not? What should we look into?"
Got Ground Meat? Cook Some Keema.,https://www.nytimes.com/2025/02/23/dining/ground-meat-keema.html,"Tejal Raoâ€™s keema is simple and comforting, perfect for a Sunday night."
Here are the latest developments.,https://www.nytimes.com/2025/02/23/world/europe/here-are-the-latest-developments.html,"Germans voted for a change of leadership on Sunday, with historically reliable exit polls from a parliamentary election showing centrist conservatives in the lead and the far right in second. The results amounted to a rebuke of the nationâ€™s left-leaning government for its handling of the economy and immigration."
"Republicans Face Angry Voters at Town Halls, Hinting at Broader Backlash",https://www.nytimes.com/2025/02/23/us/politics/republicans-congress-town-halls-trump.html,"After a monthlong honeymoon for the G.O.P. at the start of President Trumpâ€™s term, lawmakers are confronting a groundswell of fear and disaffection in districts around the country."
In Memory of Our Decency: â€˜That Was U.S.A.I.D.â€™,https://www.nytimes.com/2025/02/23/opinion/usaid.html,Reflections on the dismantling of the aid agency. Also: Birthright citizenship and the 14th Amendment; transgender policies; eagerness to march again.
"Amid Regional Diplomatic Furor, Sudanâ€™s Paramilitaries Forge a Rival Government",https://www.nytimes.com/2025/02/23/world/africa/sudan-rsf-paramilitaries-kenya-charter-government-civil-war.html,The Rapid Support Forces said it was paving the way to an end to the civil war. Critics called it an audacious gambit by a group that the United States has accused of genocide.
Censoring Games,https://www.nytimes.com/2025/02/23/briefing/censoring-games.html,What Chinaâ€™s influence over Marvel Rivals reveals about censorship.
Israel and Hamas Trade Accusations of Violating Fragile Cease-Fire,https://www.nytimes.com/2025/02/23/world/middleeast/israel-hamas-hostage-cease-fire.html,"Hamas criticized Israelâ€™s decision to delay the release of hundreds of Palestinian prisoners, amid growing tensions and concerns for the future of the truce in Gaza."
The Sunday Read: â€˜What Happened When America Emptied Its Youth Prisonsâ€™,https://www.nytimes.com/2025/02/23/podcasts/the-daily/juvenile-prison-crime-rates.html,Lessons from a radical 20-year experiment and a quiet triumph of public policy.
Trump Has One Idea,https://www.nytimes.com/2025/02/23/opinion/trump-ukraine-justice-zelensky.html,What do Ukraine and the Justice Department have in common?
"Wordle Review No. 1,346",https://www.nytimes.com/2025/02/23/crosswords/wordle-review-1346.html,"Scroll down for hints and conversation about the puzzle for Monday, Feb. 24, 2025."
America Loses Its Soul When It Rejects People Fleeing Danger,https://www.nytimes.com/2025/02/23/opinion/america-refugees-refoulement-trump.html,A civilized society protects the worldâ€™s most vulnerable.
"Why You, Too, Need a Nemesis",https://www.nytimes.com/2025/02/23/opinion/success-goals-motivation-enemy.html,"Many successful people understand the power of a grudge â€” athletes, pop stars, your mother-in-law, our president."
I Teach at Harvard. Store Managers See Me as a Threat.,https://www.nytimes.com/2025/02/23/opinion/black-prison-forgiveness.html,"Maybe I just wanted to be seen as something other than a threat, a nuisance, because I happen to be Black."
Connections Companion No. 624,https://www.nytimes.com/2025/02/23/crosswords/connections-companion-624.html,"Scroll down for hints and conversation about the puzzle for Monday, Feb. 24, 2025."
Zelensky Pushes Back Against U.S. Mineral Deal and Announces European Summit,https://www.nytimes.com/2025/02/23/world/europe/ukraine-trump-mineral-deal.html,"The Ukrainian leader also said he would step down if Ukraine was allowed to join NATO, though it was unclear if he was serious or not."
Joy Reidâ€™s MSNBC Show Canceled in Major Shake-Up,https://www.nytimes.com/2025/02/23/business/msnbc-joy-reid.html,"Ms. Reidâ€™s 7 p.m. program will be replaced by a panel show co-hosted by Symone Sanders Townsend, Alicia Menendez and Michael Steele."
"This Christian Convert Fled Iran, and Ran Into Trumpâ€™s Deportation Policy",https://www.nytimes.com/2025/02/23/world/middleeast/this-christian-convert-fled-iran-and-ran-into-trumps-deportation-policy.html,Artemis Ghasemzadeh is among a group of migrants being held in a jungle camp in Panama.
No Exit,https://www.nytimes.com/2025/02/23/world/americas/panama-migrants-hotel-photo.html,"About 300 migrants from all around the world were deported from the United States to Panama. There, they were trapped in a hotel, facing a choice of whether to return to places they had fled."
Chris Murphy Emerges as a Clear Voice for Democrats Countering Trump,https://www.nytimes.com/2025/02/23/us/politics/chris-murphy-democrats-trump.html,The third-term senator from Connecticut is eschewing caution and throwing out the traditional political playbook as he seeks a broader audience for his critiques of the president and his agenda.
Review: â€˜Suits LAâ€™ Is Flat and Joyless,https://www.nytimes.com/2025/02/23/arts/television/suits-la-review.html,This NBC attempt to capitalize on the surprising Netflix success of â€œSuitsâ€ has almost none of the charming traits that distinguished the original.
French Doctor Already Convicted of Child Sex Abuse Faces Hundreds More Charges,https://www.nytimes.com/2025/02/23/france-doctor-rape-trial-children.html,"Dr. JoÃ«l Le Scouarnec is accused of raping or sexually assaulting 299 people, mostly his patients, mostly children, over 25 years, in the countryâ€™s largest-ever pedophilia case."
"How to Watch the Screen Actors Guild Awards 2025: Date, Time and Streaming",https://www.nytimes.com/2025/02/23/movies/sag-awards-how-to-watch.html,"In a wide-open best picture race, the awards, which are streaming on Netflix, could offer some clarity."
Earthâ€™s 1st Asteroid Mining Prospector Heads to the Launchpad,https://www.nytimes.com/2025/02/23/science/astroforge-launch-asteroid-mining.html,The dream of mining metals in deep space crashed and burned in the 2010s. AstroForgeâ€™s Odin mission to survey a potentially metallic asteroid is packed and ready to lift off.
What We Know About GuantÃ¡namo Bayâ€™s Migrant Camp,https://www.nytimes.com/video/us/100000009991748/what-we-know-about-guantanamo-bays-migrant-camp.html,"Last month, President Trump announced plans to construct a migrant holding facility in Guantanamo Bay, Cuba. Carol Rosenberg breaks down what we know about the operation, along with New York Times photographer Doug Mills, who captured the first independent images of the facility."
These Books Are Absolutely Unreadable. Thatâ€™s the Point.,https://www.nytimes.com/2025/02/23/books/review/book-shaped-objects.html,"A new exhibition at the Center for Book Arts in New York features a range of items â€” transistor radios, lanterns, cigarette lighters and more â€” designed to look like books."
The Death of Competition in American Elections,https://www.nytimes.com/2025/02/23/us/politics/us-elections-gerrymandering.html,A vast majority of 2024 races for Congress and state legislatures were decided by low-turnout or meaningless primaries. The trend is making politics more polarized and eroding public trust.
"In Britain, a Fight Over a Film Studio Becomes a Test for the Economy",https://www.nytimes.com/2025/02/23/business/uk-economy-film-studio-development.html,"The national government has intervened in a local planning squabble, which has become a symbol for how far it will go to use development as a way to revive the British economy."
Debt Nearly Buried Them. Hereâ€™s How They Got Out of the Hole.,https://www.nytimes.com/2025/02/23/business/debt-money-mental-health.html,People who find themselves in financial trouble sometimes consider taking drastic measures when their situation appears hopeless. But there is always a way out.
"Spicy, Sparkling New Romance Novels",https://www.nytimes.com/2025/02/23/books/review/new-romance-books-february.html,Our columnist on the monthâ€™s new releases.
A Not-So-Straight Line From Little Richard to Bowie to â€˜Saturday Night Feverâ€™,https://www.nytimes.com/2025/02/23/books/review/the-secret-public-jon-savage.html,"In â€œThe Secret Public,â€ Jon Savage traces how music helped popularize queer culture, from the 1950s through the heyday of disco."
Pope Francis Suffering From Kidney Failure in Addition to Pneumonia,https://www.nytimes.com/2025/02/23/world/europe/pope-francis-health.html,"The kidney ailment appears to be in an early stage, the Vatican said, adding that the pontiff is still receiving high flows of oxygen for his respiratory illness."
"For Fearful Immigrants, Itâ€™s the Card They All Want Right Now",https://www.nytimes.com/2025/02/23/us/immigration-red-card.html,"Distributed by a legal aid group, the â€œred cardâ€ lays out key rights and protections. Demand for them has surged since President Trump returned to office."
How â€˜Basedâ€™ Is Grok 3? + Robinhood C.E.O. Vlad Tenev on Markets for Everything + Vibecoding 101,https://www.nytimes.com/2025/02/21/podcasts/hardfork-grok-robinhood.html,â€œElon Musk is willing to spend a phenomenal amount of money and basically do everything he can to stay with the head of the pack on A.I. progress.â€
