source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Memeorandum.com'}",,Judge orders Trump administration to temporarily reinstate foreign aid funding (Megan Lebowitz/NBC News),"Megan Lebowitz / NBC News:
Judge orders Trump administration to temporarily reinstate foreign aid funding  —  President Donald Trump last month signed an executive order that issued a blanket pause on U.S. foreign aid.  —  WASHINGTON — The Trump administratio…",https://www.memeorandum.com/250213/p195,"https://media-cldnry.s-nbcnews.com/image/upload/t_nbcnews-fp-1200-630,f_auto,q_auto:best/rockcms/2025-01/250128-white-house-mb-1022-86094f.jpg",2025-02-14T04:30:00Z,"memeorandum is an auto-generated summary of the stories that US political commentators are discussing online right now.
Unlike sister sites Techmeme and Mediagazer, it is not a human-edited news out… [+72 chars]"
"{'id': 'techradar', 'name': 'TechRadar'}",erichs211@gmail.com (Eric Hal Schwartz),You can now talk to Microsoft Copilot Voice in 40 more languages,The AI assistant's speech goes globe-trotting,https://www.techradar.com/computing/artificial-intelligence/you-can-now-talk-to-microsoft-copilot-voice-in-40-more-languages,https://cdn.mos.cms.futurecdn.net/n3Jsrqu3bCBqQ3ve76kVHV-1200-80.png,2025-02-14T04:30:00Z,<ul><li>Microsoft’s Copilot Voice has been upgraded with 40 new languages</li><li>The AI has also improved its real-time responses</li><li>Microsoft wants to encourage people to engage with Copilot i… [+2258 chars]
"{'id': None, 'name': 'Memeorandum.com'}",,Top U.S. Prosecutors Resign After Order to Drop Eric Adams Case (Wall Street Journal),"Wall Street Journal:
Top U.S. Prosecutors Resign After Order to Drop Eric Adams Case  —  Justice Department says it demanded dismissal of bribery prosecution of New York mayor so he could focus on immigration and violent crime  —  NEW YORK—The Justice Departm…",https://www.memeorandum.com/250213/p194,https://images.wsj.net/im-09722409/social,2025-02-14T04:30:00Z,"memeorandum is an auto-generated summary of the stories that US political commentators are discussing online right now.
Unlike sister sites Techmeme and Mediagazer, it is not a human-edited news out… [+72 chars]"
"{'id': None, 'name': 'Healthcare IT News'}",Adam Ang,IT breach risk ‘very real’ amid job cuts at Te Whatu Ora: union,Public Service Association has asked the Privacy Commissioner and Employment Relations Authority to keep Te Whatu Ora from dismissing roles in data and digital.,https://www.healthcareitnews.com/news/anz/it-breach-risk-very-real-amid-job-cuts-te-whatu-ora-union,https://www.healthcareitnews.com/sites/hitn/files/web_xl-906007320.JPG,2025-02-14T04:29:42Z,"Te Whatu Ora is being taken to the Employment Relations Authority amid its plan to remove a number of positions across the organisation, including many data and digital jobs. 
New Zealand's largest … [+3437 chars]"
"{'id': 'the-times-of-india', 'name': 'The Times of India'}",ETMarkets.com,Share market update: Most active stocks of the day in terms of total traded value,The NSE Nifty index was trading 1.25 points  down  at 23030.15,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-total-traded-value/articleshow/118233844.cms,"https://img.etimg.com/thumb/msid-83515267,width-1200,height-630,imgsize-853209,overlay-etmarkets/articleshow.jpg",2025-02-14T04:29:09Z,"(What's moving Sensex and Nifty Track latest market news, stock tips, Budget 2025, Share Market on Budget 2025 and expert advice, on ETMarkets. Also, ETMarkets.com is now on Telegram. For fastest new… [+330 chars]"
"{'id': None, 'name': 'The Diplomat'}",Sebastian Strangio,"Malaysia Will Amend Law on Public Protests, Prime Minister Says",Anwar Ibrahim also said that ongoing investigations against protest organizers would be dropped and that “no further action will be taken.”,https://thediplomat.com/2025/02/malaysia-will-amend-law-on-public-protests-prime-minister-says/,https://thediplomat.com/wp-content/uploads/2024/05/sizes/td-story-s-2/thediplomat_2024-05-28-015949.jpg,2025-02-14T04:28:00Z,"Malaysia has agreed to relax laws on public protests, in particular the need to obtain prior permission for demonstrations, following a controversy over an anti-corruption protest last month.
Prime … [+7624 chars]"
"{'id': None, 'name': 'The Japan Times'}",Jesse Johnson,Top Japan diplomat to hold first trilateral talks with U.S. and South Korea under Trump,"The talks aim to highlight how they will continue to ""unite and work together for regional peace and prosperity,” Foreign Minister Takeshi Iwaya said.",https://www.japantimes.co.jp/news/2025/02/14/japan/politics/japan-us-south-korea-diplomats/,https://www.japantimes.co.jp/japantimes/uploads/images/2025/02/14/452129.jpg?v=3.1,2025-02-14T04:28:00Z,"Foreign Minister Takeshi Iwaya will hold his first trilateral meeting with his counterparts from the U.S. and South Korea on Saturday, on the sidelines of a major multilateral security conference in … [+527 chars]"
"{'id': None, 'name': 'BBC News'}","Jude Sheerin - BBC News, Jaroslav Lukiv - BBC News and Koh Ewe - BBC News",Modi hails US-India 'mega partnership' in Trump meeting,"Trump and Modi, who share warm personal ties, met in the shadow of trade tensions complicating US-India relations.",https://www.bbc.com/news/articles/ckgylj77xz9o?xtor=AL-72-%5Bpartner%5D-%5Byahoo.north.america%5D-%5Bheadline%5D-%5Bnews%5D-%5Bbizdev%5D-%5Bisapi%5D,https://media.zenfs.com/en/bbc_us_articles_995/d68ec941057de5a59a499aa763f36a32,2025-02-14T04:26:03Z,"Indian Prime Minister Narendra Modi has hailed a ""mega partnership"" between the US and India, as he and US leader Donald Trump wrapped up a meeting in which they announced a deal for Delhi to import … [+4354 chars]"
"{'id': None, 'name': 'Dark Horizons'}",Garth Franklin,Brief “Godzilla Minus One” Sequel Update,"Filmmaker Takashi Yamazaki, who directed 2023’s much acclaimed period kaiju epic “Godzilla Minus One,” has given a brief update on the sequel. Yamazaki wrote the screenplay and served as the VFX supervisor on the film which made many top ten lists and won the…",https://www.darkhorizons.com/brief-godzilla-minus-one-sequel-update/,https://cdndark.darkhorizons.com/wp-content/uploads/2023/12/godzilla-minus-one-gets-extended-run.jpg,2025-02-14T04:24:53Z,"Filmmaker Takashi Yamazaki, who directed 2023’s much acclaimed period kaiju epic “Godzilla Minus One,” has given a brief update on the sequel.
Yamazaki wrote the screenplay and served as the VFX sup… [+1108 chars]"
"{'id': None, 'name': 'Lifesciencesworld.com'}",LSW Team,How to get junk removal jobs?,"Getting Junk Removal Jobs: A Comprehensive Guide Introduction Junk removal jobs can be a lucrative and rewarding career path for […]
The post How to get junk removal jobs? appeared first on Life Sciences World.",https://lifesciencesworld.com/how-to-get-junk-removal-jobs/,https://lifesciencesworld.com/wp-content/uploads/2024/12/featured.png,2025-02-14T04:22:39Z,"Getting Junk Removal Jobs: A Comprehensive Guide
Introduction
Junk removal jobs can be a lucrative and rewarding career path for those who enjoy working with their hands, are physically fit, and ha… [+5965 chars]"
